epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7872,3.05194,3.01904,2.23577,0.01018,0.5,0.41621,0.26509,1.17825,3.47825,1.2785,0.00046676,0.00046676,0.00046676
2,31.3849,1.73813,1.24203,1.55574,0.00912,0.46629,0.06344,0.02474,2.0795,3.524,1.54475,0.000781823,0.000781823,0.000781823
3,44.372,1.58771,1.03097,1.47912,0.06561,0.63438,0.19964,0.1504,1.88575,2.713,1.56325,0.001096886,0.001096886,0.001096886
4,57.5276,1.69614,1.04537,1.49031,0.18789,0.50024,0.22288,0.19414,1.32075,2.974,1.33475,0.0016665928308841889,0.0016665928308841889,0.0016665928308841889
5,77.489,1.57251,0.92511,1.46826,0.02125,0.32225,0.01873,0.0042,4.62125,9.1355,4.44575,0.0016653717253635146,0.0016653717253635146,0.0016653717253635146
6,91.1431,1.56843,0.87172,1.45522,0.05262,0.92615,0.53537,0.35147,2.211,2.0885,1.659,0.0016633378885217006,0.0016633378885217006,0.0016633378885217006
7,101.0012,1.49857,0.80416,1.43287,0.03834,0.99152,0.97939,0.85934,1.02375,1.116,1.2615,0.0016604933275101612,0.0016604933275101612,0.0016604933275101612
8,112.4415,1.19589,0.60844,1.34649,0.07568,0.98872,0.90991,0.68242,1.4305,2.842,1.35725,0.0016568408495671871,0.0016568408495671871,0.0016568408495671871
9,122.3246,1.42234,0.74335,1.40949,0.03773,0.99152,0.87075,0.78667,0.89175,1.46325,1.24425,0.0016523840592475385,0.0016523840592475385,0.0016523840592475385
10,133.8605,1.35625,0.72133,1.40202,0.03658,0.94639,0.44764,0.34654,1.463,2.781,1.41575,0.0016471273548651865,0.0016471273548651865,0.0016471273548651865
11,146.2661,1.25258,0.61906,1.36039,0.04267,0.98876,0.76665,0.62073,1.60975,1.311,1.47925,0.001641075924152707,0.001641075924152707,0.001641075924152707
12,155.7707,1.20237,0.61868,1.34566,0.03798,0.99719,0.98202,0.89561,0.825,0.487,1.22,0.0016342357391416148,0.0016342357391416148,0.0016342357391416148
13,165.0541,1.18632,0.55604,1.34583,0.03837,0.99438,0.98772,0.92879,0.68225,0.503,1.201,0.0016266135502686907,0.0016266135502686907,0.0016266135502686907
14,176.7532,1.05045,0.47693,1.31074,0.04511,0.84929,0.52012,0.44007,1.43275,1.80525,1.4055,0.0016182168797141136,0.0016182168797141136,0.0016182168797141136
15,189.5217,1.1043,0.49851,1.32047,0.04424,0.94067,0.1841,0.10357,2.2425,2.6715,1.69025,0.0016090540139779789,0.0016090540139779789,0.0016090540139779789
16,198.0145,1.06523,0.48645,1.3102,0.08254,0.99719,0.98689,0.94423,0.656,0.33675,1.19925,0.0015991339957025224,0.0015991339957025224,0.0015991339957025224
17,207.0346,1.0906,0.47644,1.316,0.04231,0.99719,0.99074,0.92192,0.73225,0.3545,1.20375,0.0015884666147481232,0.0015884666147481232,0.0015884666147481232
18,215.4094,0.95612,0.40757,1.28609,0.07437,0.99719,0.98941,0.9276,0.6895,0.30125,1.19475,0.0015770623985318947,0.0015770623985318947,0.0015770623985318947
