epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.46658,3.14652,2.77986,2.24138,0.00000,0.00000,0.00000,0.00000,1.46500,3.34150,1.36425,0.000781823,0.000781823,0.000781823
1,8.43912,2.87105,2.54900,2.12543,0.00000,0.00000,0.00000,0.00000,1.34850,3.59775,1.32375,0.000781823,0.000781823,0.000781823
