epoch,train/box_loss,train/cls_loss,train/dfl_loss,train/spatial_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/spatial_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,3.0933003,3.6739,2.3733501,1.59405,0.92025,3.5115,1.2457501,0.00175,0.02141175468969542,0.511781905744754,0.49130603145018786,0.4221899242310836,8.13e-05
1,2.6131501,2.7552004,2.1235998,1.8121,0.9565,3.3415003,1.239,0.0,0.019435615216825474,0.5000171998624011,0.4956786859145796,0.4298279427129111,0.00013529999999999998
2,1.8212502,1.5232999,1.6378498,0.86825,0.91375005,2.842,1.2342501,0.0,1.0,0.4255505817586705,0.497779547594125,0.45237460476121283,0.00018929999999999997
3,1.61465,1.1780001,1.49945,0.37045002,0.7095,2.26825,1.19875,0.0,1.0,0.4836691964363453,0.6265860429642124,0.6001988123450935,0.0003
4,1.3038499,0.9236499,1.4025999,0.06655,0.66475004,1.70475,1.19725,0.0,1.0,0.630183851688619,0.9943147208121828,0.9322080131389358,0.0003
5,1.5018001,0.98935,1.4448001,0.062400002,1.13625,1.9742501,1.2975,0.062750004,0.7604887887739877,0.5363994714742789,0.7291424521557054,0.5839082479461594,0.0003
6,1.2770002,0.79725,1.3742001,0.038099997,2.13375,2.425,1.6655,0.26025,0.27276673308187704,0.40113519091847266,0.22162529458804128,0.10957095952652758,0.0003
7,1.12935,0.67915,1.3426,0.0178,0.6385,0.45175,1.18975,0.0,0.9987207989106432,0.9970760233918128,0.995,0.9483404061974061,0.0003
8,1.1038501,0.67850006,1.3321002,0.01805,0.57374996,0.37874997,1.1805,0.0,0.9994972600108316,0.9970760233918128,0.995,0.9590888137773398,0.0003
9,1.1672499,0.68705,1.3385999,0.009850001,0.57675004,0.39675,1.181,0.0,0.9990361379259896,0.9970760233918128,0.995,0.9588418119042504,0.0003
10,1.03125,0.59845,1.3115,0.024550002,0.54625,0.34,1.1785,0.0,0.9995973320788373,0.9970760233918128,0.995,0.9632333007541968,0.0003
11,1.0245498,0.5973,1.30555,0.0141,0.515,0.305,1.1765,0.0,0.9995242916563398,0.9970760233918128,0.995,0.9654593811993056,0.0003
12,1.0662,0.60284996,1.3168999,0.01095,0.53375,0.30150002,1.1787499,0.0,0.9993443720182533,0.9970760233918128,0.995,0.9684169958887751,0.0003
