epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1172,3.32239,3.01021,2.34989,0.01105,0.49719,0.31538,0.1779,1.206,3.48,1.29625,0.00046676,0.00046676,0.00046676
2,31.9152,1.88706,1.27269,1.57494,0.01806,0.56862,0.03205,0.02801,1.08125,3.21775,1.27625,0.000781823,0.000781823,0.000781823
3,44.5749,1.5676,0.96841,1.44938,0.04196,0.90862,0.51727,0.45095,1.08475,2.9055,1.279,0.001096886,0.001096886,0.001096886
4,63.5196,1.48563,0.91035,1.4361,0.00798,0.25024,0.01581,0.00279,5.935,3.57375,4.5225,0.0016665928308841889,0.0016665928308841889,0.0016665928308841889
5,81.4729,1.57094,0.93784,1.46061,0.0233,0.46372,0.01707,0.01143,2.64475,11.118,1.84975,0.0016653717253635146,0.0016653717253635146,0.0016653717253635146
6,99.1849,1.38198,0.79286,1.40153,0.09762,0.42178,0.08798,0.07264,2.7295,3.294,1.838,0.0016633378885217006,0.0016633378885217006,0.0016633378885217006
7,108.7485,1.434,0.73847,1.41433,0.12324,0.98867,0.98308,0.88863,0.91875,0.79425,1.23125,0.0016604933275101612,0.0016604933275101612,0.0016604933275101612
8,119.6217,1.36494,0.7046,1.39806,0.0817,0.96896,0.89412,0.68362,1.42725,1.272,1.43575,0.0016568408495671871,0.0016568408495671871,0.0016568408495671871
9,128.9106,1.28799,0.63969,1.37879,0.04001,0.99438,0.98737,0.90954,0.7685,0.589,1.20825,0.0016523840592475385,0.0016523840592475385,0.0016523840592475385
10,138.2171,1.24238,0.57864,1.35816,0.04089,0.99438,0.98756,0.92338,0.74175,0.45775,1.20825,0.0016471273548651865,0.0016471273548651865,0.0016471273548651865
11,149.7114,1.17837,0.55273,1.34673,0.03785,0.99719,0.98555,0.89333,0.8605,0.4545,1.227,0.001641075924152707,0.001641075924152707,0.001641075924152707
12,160.2427,1.14488,0.52957,1.3332,0.05011,0.89801,0.86425,0.79703,0.8165,0.77375,1.236,0.0016342357391416148,0.0016342357391416148,0.0016342357391416148
13,173.8242,1.1198,0.5244,1.32809,0.04251,0.91002,0.26161,0.13553,2.64575,2.843,1.72275,0.0016266135502686907,0.0016266135502686907,0.0016266135502686907
14,182.7445,1.28431,0.69907,1.38967,0.14075,0.91167,0.82694,0.70429,1.28875,1.4135,1.34375,0.0016182168797141136,0.0016182168797141136,0.0016182168797141136
15,191.516,1.11787,0.5124,1.32407,0.06628,0.99433,0.98872,0.92778,0.66475,0.34875,1.19775,0.0016090540139779789,0.0016090540139779789,0.0016090540139779789
16,200.9604,1.10595,0.47539,1.32664,0.04706,0.99433,0.99052,0.93129,0.664,0.44775,1.1985,0.0015991339957025224,0.0015991339957025224,0.0015991339957025224
17,209.9963,1.02587,0.43688,1.30438,0.07294,0.99152,0.98309,0.93173,0.6705,0.3475,1.20125,0.0015884666147481232,0.0015884666147481232,0.0015884666147481232
18,218.6129,1.02569,0.43988,1.30248,0.1031,0.99438,0.98872,0.93875,0.67075,0.279,1.198,0.0015770623985318947,0.0015770623985318947,0.0015770623985318947
19,227.1127,1.00115,0.4009,1.29819,0.11486,0.99438,0.98992,0.94263,0.64625,0.3065,1.19875,0.0015649326016383947,0.0015649326016383947,0.0015649326016383947
20,235.3058,0.98253,0.40798,1.28663,0.27296,0.99719,0.99196,0.93704,0.68575,0.2785,1.19925,0.0015520891947127093,0.0015520891947127093,0.0015520891947127093
21,246.4408,1.05845,0.42792,1.31083,0.02936,0.08451,0.01837,0.00765,4.06875,5.11875,2.39425,0.0015385448526468704,0.0015385448526468704,0.0015385448526468704
22,254.4503,1.06677,0.3951,1.31157,0.31564,0.99433,0.98769,0.92163,0.7075,0.273,1.2,0.0015243129420712688,0.0015243129420712688,0.0015243129420712688
23,262.4881,1.03564,0.37633,1.29685,0.32285,0.99438,0.98732,0.93097,0.70875,0.25225,1.198,0.0015094075081634037,0.0015094075081634037,0.0015094075081634037
24,270.5914,0.91943,0.33275,1.27865,0.16938,0.99719,0.98943,0.94534,0.602,0.24825,1.1865,0.0014938432607869865,0.0014938432607869865,0.0014938432607869865
25,278.8957,0.92135,0.3407,1.28728,0.11719,0.99433,0.98731,0.94188,0.607,0.237,1.1865,0.0014776355599750842,0.0014776355599750842,0.0014776355599750842
26,286.9138,0.9078,0.33677,1.26966,0.32311,0.99438,0.98765,0.95717,0.58725,0.24,1.1885,0.0014608004007716183,0.0014608004007716183,0.0014608004007716183
