Experiment,Val_mAP@0.5,Val_mAP@0.5:0.95,Precision,Recall,Test_mAP@0.5,Val-Test_Gap_%,Train-Val_Gap_%,Gap_Std_%,Convergence_Epoch,Stability_Std,Rank_mAP50-95,Rank_Test_mAP,Rank_Train-Val_Gap,Rank_Val-Test_Gap,Rank_Convergence,Rank_Stability,Total_Score
AdamW Standard (avg n=3),0.9950,0.9808,0.9997,0.9971,0.9950,0.0000,20.1927,13.9872,4,0.0084,1.0000,3.0000,3.0000,2.5000,3.0000,3.0000,24.7500
AdamW Aggressive (avg n=3),0.9950,0.9801,0.9986,0.9971,0.9950,0.0000,20.4089,12.4556,3,0.0072,2.0000,3.0000,4.0000,2.5000,1.0000,2.0000,26.7500
SGD Standard (avg n=3),0.9950,0.9595,0.9996,0.9971,0.9950,0.0000,10.2345,9.2892,4,0.0213,4.0000,3.0000,2.0000,2.5000,3.0000,5.0000,33.7500
SGD Conservative (avg n=3),0.9950,0.9594,0.9995,0.9971,0.9950,0.0000,9.0762,4.5233,5,0.0087,5.0000,3.0000,1.0000,2.5000,5.0000,4.0000,35.7500
AdamW Conservative (avg n=3),0.9950,0.9769,0.9985,0.9971,0.9950,0.0010,21.8540,6.7926,4,0.0067,3.0000,3.0000,5.0000,5.0000,3.0000,1.0000,36.5000
