epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,2.9926662,2.8450477,2.2899046,1.1520001,3.47,1.274,0.013930035361800904,0.494430176565008,0.46179227779828846,0.30466287525048447,0.00046676
1,1.8217143,1.2157142,1.5868572,1.12875,3.03775,1.2895,0.012689469688737479,0.49723916532905293,0.06269794008161739,0.03394663309477123,0.000781823
2,1.7851903,1.1098573,1.5364286,4.926,4.95975,4.5099998,0.5092035562835765,0.1544943820224719,0.006934713019942213,0.001753866719354822,0.001096886
3,1.6604284,0.9919999,1.4868573,11.101001,242.16576,11.95625,0.0,0.0,0.0,0.0,0.0016665928308841889
4,1.6953332,1.0469524,1.4965715,7.077,9.870749,12.19875,0.0008365867261572784,0.04285714285714286,0.00046008390309420794,7.493772130535884e-05,0.0016653717253635146
5,1.634,0.96909535,1.492238,4.4925003,339.70776,3.27825,0.010973469773673385,0.34608346709470306,0.007904797468698706,0.0030408902278889513,0.0016633378885217006
6,1.5047144,0.81771433,1.4296191,4.726,4.32575,3.49575,0.00033894475200542314,0.017142857142857144,0.00017752978586826134,0.00010598169277065874,0.0016604933275101612
7,1.4442856,0.73661906,1.4143332,1.3925,2.20925,1.3555,0.5742962564113443,0.32849406132922754,0.41570240844576045,0.35168806432338773,0.0016568408495671871
8,1.3656667,0.7045238,1.4023334,0.833,0.60424995,1.2195001,0.8807657167692127,0.9697532747837854,0.9533480666611311,0.8621061977190865,0.0016523840592475385
9,1.359619,0.663,1.3875238,1.42025,1.7445,1.38325,0.7927453564454997,0.5807689734867441,0.6970675829886888,0.5490536469091685,0.0016471273548651865
10,1.2221429,0.62438095,1.3559047,0.82025,0.46625,1.21725,0.9688811350028547,0.9858587479935794,0.9900070867299688,0.9004923015186386,0.001641075924152707
11,1.2248571,0.61290485,1.348857,0.76875,1.09125,1.2297499,0.8933058778636771,0.8519339196021369,0.9369253775637914,0.8580424365856505,0.0016342357391416148
12,1.1793333,0.54047614,1.3406191,1.00025,1.78375,1.28625,0.9260124743727146,0.48491171749598716,0.7225716650395683,0.6430786626124106,0.0016266135502686907
13,1.1457144,0.52742857,1.3324286,0.73475,0.393,1.2060001,0.9927609387306767,0.9886677367576244,0.9927125804404966,0.9199581732464971,0.0016182168797141136
14,1.0158572,0.4657143,1.2969999,0.62799996,0.2835,1.1915,0.9871703640291973,0.9858587479935794,0.9895420454826656,0.9388192224339498,0.0016090540139779789
15,1.0044286,0.45990476,1.2995238,0.66175,0.356,1.1955,0.9931683061014567,0.985973901658564,0.9907316433566432,0.9337483183332946,0.0015991339957025224
16,1.071,0.4909523,1.3152859,0.69525,0.29375002,1.2017499,0.9935488495031498,0.9862020334105063,0.9907460602419361,0.9274425904762612,0.0015884666147481232
17,1.0754762,0.5048096,1.3159523,0.69025,0.289,1.20075,0.9938594140833061,0.9966379337985667,0.9899152542372882,0.9242404947480581,0.0015770623985318947
18,1.0571429,0.506381,1.3185713,0.62974995,0.29525,1.192,0.9934657678085336,0.9886677367576244,0.9919058672387443,0.9406897143671273,0.0015649326016383947
19,1.0081428,0.4851428,1.3036665,0.67425,0.27249998,1.19625,0.9938699418929268,0.9911191958248613,0.9854734458669292,0.9315561103908161,0.0015520891947127093
20,0.93623805,0.43133336,1.2772856,0.63699996,0.31225,1.1902499,0.9926463221045619,0.9886677367576244,0.9894833349000929,0.9354464723362931,0.0015385448526468704
21,0.9208572,0.40595236,1.2782855,0.6185,0.25325,1.1872499,0.9932566916789229,0.9913504672794997,0.9889710020482116,0.9477474544654146,0.0015243129420712688
22,0.8856666,0.40395242,1.2715238,0.59325004,0.237,1.1872499,0.9939053924165446,0.9912575344435726,0.9879176748024996,0.9475052136826028,0.0015094075081634037
23,0.8471905,0.38504764,1.2592858,0.55775005,0.23025,1.18375,0.9943491382821699,0.9967818235950322,0.9907854929834155,0.9528205549844163,0.0014938432607869865
24,0.86747605,0.37899998,1.2659047,0.63175,0.24374999,1.1905,0.9925998903335074,0.9969188717327546,0.9928777109531621,0.9436678594344817,0.0014776355599750842
25,0.8859048,0.38847622,1.2624762,0.61025,0.2485,1.1875,0.9941972217365682,0.9971600785795653,0.9921059610284793,0.942388892652016,0.0014608004007716183
26,0.83680946,0.3647143,1.2526667,0.59225,0.30525,1.18775,0.9935647696974177,0.9631942215088283,0.9755878309687482,0.9348492375569478,0.001443354397446189
27,0.8507619,0.36433336,1.2572381,0.64075,0.2485,1.1899999,0.994317585260542,0.9912070859252893,0.992530138339921,0.9424363377830207,0.0014253147670977974
28,0.9019049,0.39966664,1.2722857,0.55775,0.2335,1.1832501,0.9924357610511161,0.9935215336115678,0.992426752464403,0.956202535946433,0.0014066993126636465
29,0.8055238,0.3488571,1.2526667,0.53875,0.218,1.18125,0.9915355765417242,0.9964594527983105,0.9918415565493925,0.957719146578146,0.0013875264053497913
30,0.8613809,0.3862381,1.2642858,0.5725,0.226,1.18375,0.9943155252286082,0.9910211669298086,0.9924486795327576,0.9602152785770505,0.0013678149665009777
31,0.8213334,0.34680954,1.2517143,0.57375,0.2225,1.1817499,0.9932681180563253,0.9943338683788122,0.9905681818181817,0.9539630560175263,0.0013475844489275585
32,0.78942853,0.32561904,1.2445238,0.57875,0.23275,1.1842499,0.988687503200782,0.9921704718865232,0.9924477240440046,0.9526538147067726,0.0013268548177079187
33,0.75900006,0.31457144,1.2387145,0.54275,0.21450001,1.1795001,0.9927875406672775,0.9943338683788122,0.993893280632411,0.9608167143059847,0.0013056465304853535
34,0.7389525,0.29752383,1.2386668,0.51524997,0.199,1.18075,0.9940059800173524,0.9960800444808463,0.9913525081321692,0.9630098300225128,0.0012839805172788438
35,0.7497619,0.30214292,1.2382857,0.56925,0.22150001,1.183,0.9943179942630046,0.9914913313853408,0.9905400919305412,0.9533343406805675,0.0012618781598276551
36,0.7584763,0.3186667,1.2332857,0.54050004,0.211,1.1784999,0.9930411026607984,0.9943820224719101,0.9909317343433703,0.9513194424593052,0.0012393612704901418
37,0.7211904,0.2871905,1.2304287,0.56525,0.22275001,1.18225,0.9940896796988391,0.9932515519308489,0.9915427896637956,0.9527193157513928,0.001216452070717583
