epoch,train/box_loss,train/cls_loss,train/dfl_loss,train/spatial_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/spatial_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,1.6923501,3.4732997,1.6263002,0.174,0.877,3.5,1.2305,0.0,0.020032224607175936,0.5882352941176471,0.43630388346755344,0.36004442357415345,8.13e-05
1,0.79235,1.8056498,1.2022002,5.0000002e-05,0.732,3.2667499,1.19125,0.0,0.014398213238176218,0.5000171998624011,0.49398970100217354,0.4440184486441794,0.00013529999999999998
2,0.63735,0.71945,1.1832501,0.0,0.70725,2.5685,1.1805,0.0,0.9616582635019866,0.49707602339181284,0.52085452324015,0.4746311378603442,0.00018929999999999997
