epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1162,3.28274,3.13975,2.36364,0.01278,0.49719,0.44719,0.30271,1.37225,3.41475,1.29775,0.00046676,0.00046676,0.00046676
2,29.1521,1.91814,1.38531,1.59312,0.01064,0.5,0.38679,0.22977,1.2285,3.201,1.278,0.000781823,0.000781823,0.000781823
3,46.3331,1.72592,1.12745,1.52952,0.01774,0.92697,0.01835,0.00605,2.49975,3.45325,1.80775,0.001096886,0.001096886,0.001096886
4,65.7516,1.72317,1.07262,1.52228,0.01763,0.45199,0.01841,0.00656,4.8055,6.2545,3.967,0.0016665928308841889,0.0016665928308841889,0.0016665928308841889
5,85.4539,1.53001,0.87296,1.45526,0.00124,0.06571,0.00096,0.00031,4.6665,122.55125,3.366,0.0016653717253635146,0.0016653717253635146,0.0016653717253635146
6,104.3107,1.62092,0.85435,1.49367,0.01082,0.27543,0.01708,0.00295,4.16825,3.934,2.65225,0.0016633378885217006,0.0016633378885217006,0.0016633378885217006
7,124.2018,1.4579,0.76682,1.43935,0.00934,0.30109,0.00984,0.00301,4.9005,5.06775,2.88375,0.0016604933275101612,0.0016604933275101612,0.0016604933275101612
8,142.8826,1.33684,0.69554,1.39792,0.02769,0.53112,0.07266,0.04956,2.567,3.48375,1.792,0.0016568408495671871,0.0016568408495671871,0.0016568408495671871
9,158.6157,1.26449,0.62315,1.37534,0.02985,0.74478,0.2607,0.14606,2.59325,2.4975,1.949,0.0016523840592475385,0.0016523840592475385,0.0016523840592475385
10,170.5714,1.2181,0.59437,1.36412,0.03783,0.97438,0.70578,0.6158,1.08725,1.75325,1.287,0.0016471273548651865,0.0016471273548651865,0.0016471273548651865
11,182.0708,1.14218,0.54808,1.3376,0.03845,0.99719,0.98028,0.89906,0.78725,0.68025,1.20975,0.001641075924152707,0.001641075924152707,0.001641075924152707
12,191.6965,1.17559,0.56511,1.3521,0.05904,0.99719,0.98016,0.91436,0.725,0.447,1.21075,0.0016342357391416148,0.0016342357391416148,0.0016342357391416148
13,204.303,1.20302,0.56609,1.35307,0.03668,0.96324,0.39174,0.298,1.70275,2.27625,1.56125,0.0016266135502686907,0.0016266135502686907,0.0016266135502686907
14,218.6001,1.20566,0.54442,1.3552,0.03377,0.88416,0.43733,0.3375,1.97175,2.353,1.673,0.0016182168797141136,0.0016182168797141136,0.0016182168797141136
15,228.1544,1.2082,0.52185,1.35566,0.05498,0.99719,0.98356,0.9137,0.7435,0.53625,1.20875,0.0016090540139779789,0.0016090540139779789,0.0016090540139779789
16,238.0347,1.10498,0.46518,1.32889,0.05288,0.96029,0.93135,0.83801,1.1355,0.7915,1.3115,0.0015991339957025224,0.0015991339957025224,0.0015991339957025224
17,247.7209,1.0177,0.412,1.30248,0.04275,1.0,0.97094,0.89621,0.762,0.6555,1.21325,0.0015884666147481232,0.0015884666147481232,0.0015884666147481232
18,256.7034,1.04577,0.43484,1.30897,0.07701,0.99719,0.98441,0.91171,0.7675,0.414,1.20675,0.0015770623985318947,0.0015770623985318947,0.0015770623985318947
19,266.4841,1.02102,0.40383,1.29692,0.06381,0.99152,0.95279,0.83516,0.87375,0.5725,1.26375,0.0015649326016383947,0.0015649326016383947,0.0015649326016383947
20,275.8094,1.00553,0.39719,1.30042,0.06768,0.99719,0.98809,0.93483,0.6365,0.4605,1.19225,0.0015520891947127093,0.0015520891947127093,0.0015520891947127093
21,287.2285,0.98617,0.38652,1.29357,0.05701,0.99719,0.98447,0.93269,0.6645,0.75875,1.19325,0.0015385448526468704,0.0015385448526468704,0.0015385448526468704
22,296.048,0.98522,0.37223,1.29427,0.10438,0.99719,0.9878,0.93213,0.65575,0.324,1.1965,0.0015243129420712688,0.0015243129420712688,0.0015243129420712688
23,304.8082,0.96509,0.35071,1.28091,0.0939,0.99719,0.98836,0.93569,0.636,0.28325,1.19175,0.0015094075081634037,0.0015094075081634037,0.0015094075081634037
24,313.6037,0.94282,0.34223,1.28008,0.30918,0.99719,0.98679,0.94529,0.612,0.28025,1.1895,0.0014938432607869865,0.0014938432607869865,0.0014938432607869865
25,322.3153,0.96442,0.34624,1.29244,0.11195,0.99719,0.98944,0.91649,0.76575,0.28025,1.21,0.0014776355599750842,0.0014776355599750842,0.0014776355599750842
26,330.8031,0.93766,0.32801,1.27002,0.15601,0.99719,0.98996,0.93229,0.64275,0.30525,1.193,0.0014608004007716183,0.0014608004007716183,0.0014608004007716183
27,339.4751,0.90567,0.32271,1.26685,0.21274,0.98872,0.98018,0.93252,0.69825,0.40925,1.21875,0.001443354397446189,0.001443354397446189,0.001443354397446189
28,347.8157,0.84952,0.30176,1.25887,0.32883,0.99719,0.9888,0.94545,0.63525,0.304,1.1945,0.0014253147670977974,0.0014253147670977974,0.0014253147670977974
29,356.4077,0.80444,0.28998,1.24313,0.26585,0.99719,0.98656,0.9488,0.58775,0.2475,1.186,0.0014066993126636465,0.0014066993126636465,0.0014066993126636465
30,365.0467,0.84328,0.29944,1.25343,0.19041,0.99719,0.99022,0.94397,0.60825,0.2515,1.1915,0.0013875264053497913,0.0013875264053497913,0.0013875264053497913
31,374.9953,0.87695,0.29276,1.26287,0.30146,0.99719,0.98811,0.94746,0.57,0.24075,1.18475,0.0013678149665009777,0.0013678149665009777,0.0013678149665009777
32,383.6067,0.79971,0.28261,1.24515,0.46893,0.99719,0.99325,0.95298,0.575,0.22075,1.184,0.0013475844489275585,0.0013475844489275585,0.0013475844489275585
33,391.9538,0.7656,0.26588,1.23802,0.43528,0.99719,0.98982,0.95707,0.555,0.2195,1.1855,0.0013268548177079187,0.0013268548177079187,0.0013268548177079187
34,400.5812,0.7206,0.25556,1.22694,0.21352,1.0,0.99192,0.95142,0.5765,0.23075,1.189,0.0013056465304853535,0.0013056465304853535,0.0013056465304853535
35,410.6739,0.83453,0.28298,1.25092,0.2823,0.99719,0.99149,0.95445,0.56425,0.2255,1.1865,0.0012839805172788438,0.0012839805172788438,0.0012839805172788438
36,420.9344,0.71643,0.24941,1.22469,0.20627,0.99719,0.99238,0.95538,0.53675,0.2095,1.18325,0.0012618781598276551,0.0012618781598276551,0.0012618781598276551
37,429.3202,0.71351,0.24644,1.21986,0.24839,1.0,0.99212,0.96196,0.5145,0.21,1.179,0.0012393612704901418,0.0012393612704901418,0.0012393612704901418
38,437.6886,0.75206,0.25895,1.23145,0.27553,0.99719,0.99047,0.95588,0.5715,0.216,1.1815,0.001216452070717583,0.001216452070717583,0.001216452070717583
39,445.8228,0.69251,0.23552,1.21853,0.36254,0.99719,0.99083,0.96076,0.526,0.20925,1.17875,0.0011931731691242934,0.0011931731691242934,0.0011931731691242934
40,454.0259,0.73622,0.2498,1.22397,0.33362,0.99719,0.98944,0.95814,0.5285,0.2045,1.17675,0.0011695475391756487,0.0011695475391756487,0.0011695475391756487
41,464.3604,0.6817,0.23697,1.21395,0.58596,0.99438,0.98825,0.96395,0.5375,0.208,1.1775,0.0011455984965160525,0.0011455984965160525,0.0011455984965160525
42,472.2983,0.67945,0.23467,1.21885,0.3342,0.99719,0.99114,0.96431,0.51925,0.199,1.17775,0.001121349675959206,0.001121349675959206,0.001121349675959206
43,480.3993,0.59099,0.20601,1.19939,0.60856,0.99719,0.99129,0.96296,0.5415,0.1955,1.178,0.0010968250081634036,0.0010968250081634036,0.0010968250081634036
44,488.2821,0.60339,0.21376,1.20455,0.62691,0.99719,0.99116,0.96585,0.495,0.19025,1.175,0.0010720486960148607,0.0010720486960148607,0.0010720486960148607
45,496.2589,0.65187,0.22265,1.20915,0.61903,0.99719,0.99282,0.95758,0.55775,0.2035,1.18125,0.0010470451907423873,0.0010470451907423873,0.0010470451907423873
46,504.1651,0.62028,0.21875,1.20294,0.39132,0.99719,0.99235,0.95603,0.54975,0.19625,1.17975,0.0010218391677869782,0.0010218391677869782,0.0010218391677869782
47,512.0638,0.58831,0.20943,1.19874,0.45947,0.99719,0.99334,0.96564,0.50925,0.19875,1.17525,0.0009964555024501297,0.0009964555024501297,0.0009964555024501297
48,519.9602,0.55195,0.1995,1.18914,0.53323,0.99719,0.99387,0.9653,0.52725,0.196,1.1765,0.0009709192453449222,0.0009709192453449222,0.0009709192453449222
49,527.8156,0.60109,0.20889,1.19827,0.64475,0.99719,0.99307,0.97024,0.49225,0.18475,1.174,0.0009452555976740895,0.0009452555976740895,0.0009452555976740895
50,535.8783,0.54877,0.19468,1.19024,0.73931,0.99719,0.99287,0.9675,0.507,0.19375,1.17425,0.0009194898863594719,0.0009194898863594719,0.0009194898863594719
51,545.8252,0.56147,0.20092,1.19145,0.62092,0.99719,0.99379,0.96398,0.515,0.1935,1.17675,0.000893647539047406,0.000893647539047406,0.000893647539047406
52,554.0092,0.53087,0.19455,1.18704,0.61862,0.99719,0.99348,0.97188,0.5,0.186,1.175,0.0008677540590147037,0.0008677540590147037,0.0008677540590147037
53,562.2853,0.5007,0.18385,1.18281,0.44441,0.99719,0.9935,0.96259,0.50425,0.185,1.1755,0.0008418350000000001,0.0008418350000000001,0.0008418350000000001
54,570.7332,0.51902,0.18537,1.18493,0.50924,0.99719,0.99372,0.96328,0.4915,0.18675,1.17325,0.0008159159409852964,0.0008159159409852964,0.0008159159409852964
55,579.0554,0.52244,0.18873,1.18437,0.61977,0.99719,0.99314,0.96855,0.49425,0.184,1.1745,0.0007900224609525942,0.0007900224609525942,0.0007900224609525942
