epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,3.7799523,2.9988573,2.548857,6.7747498,1635.0288,237.168,0.003172043010752688,0.16573033707865167,0.0028130789450242985,0.0012695662019607443,0.0028000000000000004
1,2.3972378,1.5136666,1.727143,6.4174995,65194.414,759.9375,0.001935483870967742,0.10285714285714286,0.001196199096451797,0.00020195417156348923,0.00469
2,2.366857,1.4052858,1.7040952,6.5455,309946.12,1118.0348,0.0,0.0,0.0,0.0,0.006580000000000001
3,2.2250953,1.3798571,1.6860477,5.314,9000607.0,9558.304,0.0,0.0,0.0,0.0,0.01
4,2.0044763,1.193762,1.5906191,5.5585,7287.5635,724.10547,0.0005913978494623656,0.03142857142857143,0.0003257907655524105,0.00010933667830326239,0.01
5,1.8114762,1.0334287,1.5354763,4.434,6841.5537,11.138499,5.3763440860215054e-05,0.002857142857142857,2.726755674521404e-05,1.6360564258236397e-05,0.01
6,1.7488573,0.98109525,1.522238,3.10225,210.81499,2.8185,0.014577625191133212,0.3499036918138042,0.010694513977586992,0.006243975324569004,0.01
7,1.759,0.9507143,1.5223334,5.0085,242.64449,5.4615,0.022814539286758667,0.45126805778491175,0.02136237610644546,0.007265140817790244,0.01
8,1.6544286,0.95519036,1.4897143,2.8505,4.8917503,2.046,0.4049704685145717,0.17565008025682183,0.18919543373269065,0.14207899205013702,0.01
9,1.5278097,0.81266665,1.4431903,1.93875,3.16775,1.648,0.48322155137659434,0.5323274478330658,0.43557389539334823,0.2878191008755064,0.01
10,1.5219524,0.8144285,1.4428571,1.36125,1.14,1.47475,0.8763872931871637,0.7485494820119168,0.8284173663294486,0.7062706703846755,0.01
11,1.5088096,0.75747615,1.4427143,3.35325,4.6367497,2.5332499,0.24488558574346006,0.25202247191011234,0.11255262317020505,0.06678962980370108,0.01
12,1.3949047,0.71019053,1.4120001,0.98125,0.48775,1.2394999,0.9779845594826301,0.9833486366862327,0.9875284090909091,0.8851729331918529,0.01
