epoch,train/box_loss,train/cls_loss,train/dfl_loss,train/spatial_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/spatial_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
0,2.9418006,3.5635998,2.29735,1.4590001,0.88975,3.5284998,1.2349999,0.00025,0.01626005650615177,0.5000171998624011,0.47654378434147376,0.4127637665503686,8.13e-05
1,2.5187,2.6108997,2.04545,1.3823,0.833,3.3835,1.20975,0.0,0.015385999640093576,0.5,0.49366142518230777,0.438212152952954,0.00013529999999999998
2,2.1873498,1.81045,1.7816999,1.0892498,0.86825,2.9155,1.209,0.0,1.0,0.4700628459709901,0.4981658785363949,0.43327735521804545,0.00018929999999999997
3,1.6908001,1.2289001,1.5167499,0.3141,0.84375,2.33125,1.2155,0.0,1.0,0.4896504212512065,0.5676176367994176,0.537014133120634,0.0003
4,1.3819001,0.94065,1.4058502,0.0488,0.7565,1.812,1.202,0.0,1.0,0.5257662205438988,0.9949705882352942,0.9330386321509865,0.0003
5,1.3386999,0.8893501,1.3992501,0.03765,0.83924997,1.7375001,1.223,0.01175,0.8448215412803258,0.634934534468943,0.939371025949783,0.8485962720840436,0.0003
6,1.29435,0.83550006,1.3912503,0.041500002,0.76075,1.14175,1.2064999,0.00575,0.9317557396199994,0.9359880426877574,0.9849423462442549,0.8943733331430936,0.0003
7,1.2344501,0.7659501,1.3680501,0.057800002,0.89000005,1.07525,1.2342501,0.03825,0.9606035074852328,0.9467064429769683,0.9859722939522999,0.8875968092918862,0.0003
8,1.3506999,0.81044996,1.4000001,0.056550004,0.76799995,0.86375004,1.2102499,0.00025,0.9582065623746481,0.9724761203593731,0.9896890643167469,0.913134908586913,0.0003
9,1.1257,0.6669501,1.33125,0.017,0.6605,0.43725002,1.1925,0.0,0.9921638141417084,0.9970006649869895,0.9949122746662997,0.9426716990645945,0.0003
10,1.0839999,0.6236,1.3131499,0.0169,0.73525,0.49949998,1.2055,0.0,0.985675106511638,0.9867239594070112,0.993995311116372,0.9268582984508308,0.0003
11,1.09565,0.6224,1.3160499,0.013699999,0.58475,0.35875,1.182,0.0,0.9987259008616067,0.9969115523733585,0.995,0.9579594224666927,0.0003
12,0.97370017,0.55679995,1.2866501,0.0104,0.529,0.3315,1.177,0.0,0.9990827149901277,0.9970760233918128,0.995,0.9663878193769653,0.0003
13,0.98989993,0.561,1.29245,0.00935,0.59075,0.32999998,1.1817499,0.0,0.9993238836995495,0.9970760233918128,0.995,0.9546385541465036,0.0003
14,0.9833499,0.56065,1.2894499,0.0112499995,0.56549996,0.31475002,1.1775,0.0,0.999216425963655,0.9970760233918128,0.995,0.9635237744156763,0.0003
15,1.01935,0.5626,1.2944499,0.0065500005,0.54174995,0.2975,1.17525,0.0,0.9992434351955686,0.9970760233918128,0.995,0.9680910197807915,0.0003
16,0.9446,0.526,1.2815001,0.00655,0.55799997,0.295,1.17675,0.0,0.9995580420538928,0.9970760233918128,0.995,0.9609210732604255,0.0003
17,0.89480007,0.49685,1.2644502,0.0063500004,0.53725004,0.30925,1.1775,0.0,0.999193578463242,0.9970760233918128,0.995,0.9654721354871538,0.0003
18,0.91244996,0.49695006,1.272,0.0024,0.53400004,0.307,1.17525,0.0,0.9992600396388698,0.9970760233918128,0.995,0.9660707566003625,0.0003
19,0.89750004,0.48955002,1.2649,0.00435,0.541,0.296,1.177,0.0,0.9993831776358844,0.9970760233918128,0.995,0.9663987166371136,0.0003
20,0.858,0.46595,1.26115,0.0012,0.5165,0.2935,1.17525,0.0,0.9993775733632353,0.9970760233918128,0.995,0.9641330009621978,0.0003
21,0.96404994,0.49745005,1.2821,0.0019499998,0.5385,0.30975002,1.1802499,0.0,0.998435324560435,0.9970760233918128,0.995,0.965592574721129,0.0003
22,0.827,0.4307,1.2509501,0.0025999998,0.54550004,0.28025,1.177,0.0,0.9994594323566492,0.9970760233918128,0.995,0.9638311088614,0.0003
